match_id,model1,model2,score,winner,hit_rate_model1,hit_rate_model2,steps
SimpleFF_vs_DeepFF_0,SimpleFF,DeepFF,0-3,DeepFF,0.5,0.0,186
SimpleFF_vs_DeepFF_1,SimpleFF,DeepFF,0-3,DeepFF,0.75,1.0,312
SimpleFF_vs_DeepFF_2,SimpleFF,DeepFF,0-3,DeepFF,0.25,1.0,304
SimpleFF_vs_DeepFF_3,SimpleFF,DeepFF,0-3,DeepFF,0.5,1.0,656
SimpleFF_vs_DeepFF_4,SimpleFF,DeepFF,0-3,DeepFF,0.4,1.0,304
SimpleFF_vs_DeepFF_5,SimpleFF,DeepFF,0-3,DeepFF,0.8421052631578947,1.0,910
SimpleFF_vs_DeepFF_6,SimpleFF,DeepFF,1-2,DeepFF,0.95,0.9333333333333333,1000
SimpleFF_vs_DeepFF_7,SimpleFF,DeepFF,1-3,DeepFF,0.4,0.75,837
SimpleFF_vs_DeepFF_8,SimpleFF,DeepFF,0-3,DeepFF,0.0,1.0,304
SimpleFF_vs_DeepFF_9,SimpleFF,DeepFF,0-1,DeepFF,0.9375,1.0,1000
SimpleFF_vs_DeepFF_10,SimpleFF,DeepFF,0-3,DeepFF,0.4,0.0,186
SimpleFF_vs_DeepFF_11,SimpleFF,DeepFF,0-3,DeepFF,0.5,1.0,539
SimpleFF_vs_DeepFF_12,SimpleFF,DeepFF,0-1,DeepFF,0.9166666666666666,1.0,1000
SimpleFF_vs_DeepFF_13,SimpleFF,DeepFF,0-3,DeepFF,0.25,1.0,422
SimpleFF_vs_DeepFF_14,SimpleFF,DeepFF,0-3,DeepFF,0.75,1.0,903
SimpleFF_vs_DeepFF_15,SimpleFF,DeepFF,0-3,DeepFF,0.25,1.0,304
SimpleFF_vs_DeepFF_16,SimpleFF,DeepFF,0-3,DeepFF,0.25,1.0,422
SimpleFF_vs_DeepFF_17,SimpleFF,DeepFF,0-2,DeepFF,0.9411764705882353,1.0,1000
SimpleFF_vs_DeepFF_18,SimpleFF,DeepFF,0-3,DeepFF,0.25,1.0,305
SimpleFF_vs_DeepFF_19,SimpleFF,DeepFF,1-1,Draw,0.8,0.8571428571428571,1000
SimpleFF_vs_LSTM_0,SimpleFF,LSTM,1-3,LSTM,0.5,0.6666666666666666,602
SimpleFF_vs_LSTM_1,SimpleFF,LSTM,0-3,LSTM,0.0,1.0,422
SimpleFF_vs_LSTM_2,SimpleFF,LSTM,0-3,LSTM,0.25,1.0,424
SimpleFF_vs_LSTM_3,SimpleFF,LSTM,3-0,SimpleFF,1.0,0.0,326
SimpleFF_vs_LSTM_4,SimpleFF,LSTM,0-3,LSTM,0.0,1.0,422
SimpleFF_vs_LSTM_5,SimpleFF,LSTM,3-0,SimpleFF,0.0,0.0,186
SimpleFF_vs_LSTM_6,SimpleFF,LSTM,1-3,LSTM,0.25,0.0,248
SimpleFF_vs_LSTM_7,SimpleFF,LSTM,3-0,SimpleFF,1.0,0.0,348
SimpleFF_vs_LSTM_8,SimpleFF,LSTM,0-3,LSTM,0.25,0.0,186
SimpleFF_vs_LSTM_9,SimpleFF,LSTM,0-3,LSTM,0.4,1.0,423
SimpleFF_vs_LSTM_10,SimpleFF,LSTM,3-2,SimpleFF,0.3333333333333333,0.4,664
SimpleFF_vs_LSTM_11,SimpleFF,LSTM,1-3,LSTM,0.4,0.0,248
SimpleFF_vs_LSTM_12,SimpleFF,LSTM,0-3,LSTM,0.0,0.0,186
SimpleFF_vs_LSTM_13,SimpleFF,LSTM,0-3,LSTM,0.25,1.0,304
SimpleFF_vs_LSTM_14,SimpleFF,LSTM,0-3,LSTM,0.0,1.0,421
SimpleFF_vs_LSTM_15,SimpleFF,LSTM,0-3,LSTM,0.25,1.0,422
SimpleFF_vs_LSTM_16,SimpleFF,LSTM,3-2,SimpleFF,0.8571428571428571,0.0,442
SimpleFF_vs_LSTM_17,SimpleFF,LSTM,0-3,LSTM,0.25,1.0,422
SimpleFF_vs_LSTM_18,SimpleFF,LSTM,0-3,LSTM,0.7692307692307693,1.0,312
SimpleFF_vs_LSTM_19,SimpleFF,LSTM,1-3,LSTM,0.8636363636363636,0.5,384
DeepFF_vs_LSTM_0,DeepFF,LSTM,2-3,LSTM,0.0,0.5,545
DeepFF_vs_LSTM_1,DeepFF,LSTM,0-3,LSTM,0.0,0.0,186
DeepFF_vs_LSTM_2,DeepFF,LSTM,0-3,LSTM,0.0,1.0,304
DeepFF_vs_LSTM_3,DeepFF,LSTM,0-3,LSTM,0.0,0.0,186
DeepFF_vs_LSTM_4,DeepFF,LSTM,2-3,LSTM,0.0,0.3333333333333333,428
DeepFF_vs_LSTM_5,DeepFF,LSTM,0-3,LSTM,0.0,1.0,422
DeepFF_vs_LSTM_6,DeepFF,LSTM,2-3,LSTM,0.4,0.5,428
DeepFF_vs_LSTM_7,DeepFF,LSTM,2-3,LSTM,0.25,0.8,557
DeepFF_vs_LSTM_8,DeepFF,LSTM,1-3,LSTM,0.25,0.0,248
DeepFF_vs_LSTM_9,DeepFF,LSTM,3-2,DeepFF,0.7777777777777778,0.25,553
DeepFF_vs_LSTM_10,DeepFF,LSTM,0-3,LSTM,0.25,1.0,421
DeepFF_vs_LSTM_11,DeepFF,LSTM,0-3,LSTM,0.4,0.0,186
DeepFF_vs_LSTM_12,DeepFF,LSTM,0-3,LSTM,0.0,1.0,304
DeepFF_vs_LSTM_13,DeepFF,LSTM,1-3,LSTM,0.5714285714285714,0.5,484
DeepFF_vs_LSTM_14,DeepFF,LSTM,0-3,LSTM,0.0,0.0,186
DeepFF_vs_LSTM_15,DeepFF,LSTM,2-3,LSTM,0.25,0.8,670
DeepFF_vs_LSTM_16,DeepFF,LSTM,3-2,DeepFF,0.0,0.8125,322
DeepFF_vs_LSTM_17,DeepFF,LSTM,2-3,LSTM,0.25,0.3333333333333333,428
DeepFF_vs_LSTM_18,DeepFF,LSTM,1-3,LSTM,0.25,0.0,248
DeepFF_vs_LSTM_19,DeepFF,LSTM,3-1,DeepFF,0.875,0.25,494
